H2;CH4;C2H6;C2H4;C2H2;Fail
420;250;41;530;800;D2
70;4;91;0,0001;34;D2
47;9;4;16;81;D2
120;31;0,0001;66;94;D2
5100;1430;0,0001;1140;1010;D2
535;160;16;305;680;D2
41;16;19;58;106;D2
65;26,1;10,1;41,6;57,8;D2
545;130;16;153;239;D2
34;0,0001;0,0001;0,0001;44;D2
57;15;3,1;23;25,3;D2
161;38;210;13;0,0001;T1
9;38;93;8;0,0001;T1
55;22;0,5;2,6;0,0001;T1
15;7;92;5;0,0001;T1
14;14;124;7;1;T1
625;130;47;2;0,0001;T1
29;71;158;20;0,0001;T1
17;21;118;0,0001;4;T1
115;129;316;36;0,0001;T1
13,2;18,7;97,4;79,5;4,7;T1
10;44;106;28;0,0001;T1
27;30;23;2,4;0,1;T1
20;132;61;17;0,0001;T1
42;124;1;8;0,0001;T1
24;109;69;0,0001;0,0001;T1
16;68;124;15;0,0001;T1
16,4;45,5;68,7;3,8;0,0001;T1
37;47;10;5,5;0,0001;T1
86;8;2,5;2,5;0,0001;T1
29,9;24,1;34,3;92,5;0,6;T1
16;80;134;10;0,0001;T1
66;60;2;7;0,0001;T1
0,0001;43;146;9;0,0001;T1
87,2;73,18;27,14;56,88;0,0001;T1
128;35;213;17;0,0001;T1
14;62;16;3;0,0001;T1
37;123;67;52;0,0001;T1
130;140;2;120;0,0001;T1
43;28;72;9;0,0001;T1
16;105;224;15;0,0001;T1
19;62;95;5;0,0001;T1
79;40;264;10;0,0001;T1
69;174;267;15;0,0001;T1
137;97;12;29;1,5;T1
111;67;105;9;0,0001;T1
0,0001;116;70;0,0001;0,0001;T1
25;29;137;8;0,0001;T1
20,37;59,79;45,24;80,49;0,0001;T2
19;47;27;62;0,0001;T2
88,7;460,8;94,9;184,6;18,3;T2
24;78;266;779;7;T2
0,7;1,5;0,3;1,8;0,0001;T2
360;610;259;260;9;T2
31;56;33;77;0,0001;T2
24700;61000;26300;42100;1560;T2
62;425;276;651;26;T2
295;1466;331;1295;32;T2
109;102;28;91;0,0001;T2
47;120;90;198;3;T2
144;1672;394;669;0,0001;T2
3;5;90;185;3;T2
20;41,9;20,2;44,2;0,38;T2
50;274;95;320;6,3;T2
151;242;68;232;0,0001;T2
46,9;161,6;94,1;193,6;0,56;T2
37;96;19;57;0,0001;T2
670;224;45;67;2;T2
27;90;42;63;0,2;T2
128;419;269,5;614,1;0,35;T2
160;130;33;96;0,1;T2
172;335;171;812;37,8;T3
1;8;8;100;6;T3
507;1053;297;1440;17;T3
24;20;4;87;0,0001;T3
65;34;16;112;0,0001;T3
4;2;1;63;0,0001;T3
114;241;80;574;0,0001;T3
117;167;48;481;7;T3
11;13;2;127;0,0001;T3
55;159;114;493;0,0001;T3
1550;2740;816;5450;184;T3
78;161;86;353;10;T3
33;79;30;215;5;T3
170;320;53;520;3,2;T3
10;4;1;87;0,0001;T3
2500;10500;4790;13500;6;T3
56;286;96;928;7;T3
53;189;25;295;5;T3
0,0001;10;17;68;5;T3
150;22;9;60;11;T3
99;288;73;386;0,0001;T3
27;51;0,0001;153;0,0001;T3
480;1075;298;1132;0,0001;T3
376;575;146;1092;0,0001;T3
100;200;110;670;11;T3
231;3997;1726;5584;0,0001;T3
12;270;0,0001;275;0,0001;T3
8,47;28,22;8,73;52,89;1,66;T3
1860;4980;0,0001;10700;1600;T3
28;62;16;76;0,0001;T3
22,4;22,4;2,69;13,44;1,57;T3
191;1359;166;1494;2;T3
50;100;51;305;9;T3
3420;7870;1500;6990;33;T3
65;61;16;143;3;T3
16;87;75;395;30;T3
1374;2648;628;5376;298;T3
135,88;362,42;125,22;826,65;3,74;T3
34;174;52;361;0,0001;T3
3675;6392;2500;7691;5;T3
18;21;12;6;2;T2
24,16;261,05;201,4;196;0,87;T2
72;442;461;221;0,7;T2
18;21;12;6;2;T2
23;61;153;14;4,4;T2
166,6;28,7;12,4;6,72;0,7;T2
12;12;12;12;12;T2
11;31;52;26;0;T2
9;16,7;85,3;9,9;3,4;T2
181;262;528;210;0;T2
29,9;34,6;70;5,6;1,2;T2
4,32;193;125;118;0;T2
12;290;355;144;0;T2
3,51;61;98,03;45,21;0,01;T2
83;35;86;4,9;5,1;T2
4072;15850;22621;9057;535;T2
160;130;96;33;0;T2
50,18;171,12;74,7;148,69;0;T2
20;80,2;24,6;68,6;0;T2
670;224;45;67;2;T2
0,7;1,5;0,3;1,8;0;T2
0;0,2;0,1;0,13;0;T2
111;559;243;707;0;T2
23;59,9;18,6;56,9;0,1;T2
84;126;28,9;132,2;0,37;T2
362;533;91;553;10;T2
3420;7870;1500;6990;33;T2
960;4000;1290;1560;6;T2
24700;61000;26300;42100;1560;T2
480;1075;298;1132;0;T2
40000;400;70;600;6;T2
20;41,9;0,38;44,2;20,2;T2
20,37;59,79;0;80,49;45,24;T2
23,51;61,33;1,01;98,03;45,21;T2
46,9;161,6;56;193,6;94,1;T2
47;120;3;198;90;T2
72;442;0,7;461;221;T2
110,6;458,8;0;406,4;242,6;T2
128;419;0,35;614,1;269,5;T2
24;34,6;0;21,7;14,2;T2
613;3240;0;2788;1432;T2
144;755;248;500;1;T2
231,1;919,6;669,1;1499,6;5,61;T2
21,5;135,7;140,1;310,3;0;T2
259;863;393;994;6;T2
22,4;137,2;43,5;44,8;4,3;T2
27;48,2;18,4;46,3;0,8;T2
200;700;250;740;1;T2
4072;15850;9057;22621;535;T2
27;90;42;63;0,2;T2
680;4895;1846;3662;0;T2
4,32;193;118;125;0;T2
0;434;226;387;0;T2
23,51;61,33;45,21;98,03;1,01;T2
24,16;261,05;196,13;201,4;0,87;T2
26,7;90,6;49,2;95;0,5;T2
46,9;161,6;94,1;193,3;0,56;T2
0;31,33;17,59;51,08;0;T2
15,3;26,2;21;52,8;0;T2
58;290;149;373;0;T2
22,2;50,7;24,1;56,9;0;T2
27,5;48,2;18,4;46;0,01;T2
13,1;44,7;91,5;213,3;4,2;T2
679;1992;1823;3671;0;T2
24;27,8;24,4;30;0;T2
33,9;36,5;31,5;39,3;0;T2
230;572,4;343;768,9;0,51;T2
215,6;255,1;160,2;350,4;0;T2
78;70,1;294,8;635,8;12,2;T2
72;2442;221;461;0,7;T2
139;714;351;634;0;T2
19;136;55;164;0,29;T2
23,6;170,6;180,4;450,9;0;T2
18,4;29,1;9,7;26,9;0,4;T2
22,7;150,3;160,8;400,8;0;T2
972;3411;1436;1639;0;T2
194,8;917,7;565,89;1460,9;0;T2
139;345;184;533;0;T2
70,2;246,6;171,5;371;0;T2
211;769,2;465;1210,4;0;T2
13,6;46,5;45;116,1;0;T2
118;434;228;638;0;T2
159,8;438,9;3112,4;644,6;0,38;T2
300;490;180;360;95;T2
230;5723;243;768,9;0,51;T2
46,9;161,6;94,1;193,3;0,56;T2
72;442;221;461;0,7;T2
128;419;269,4;614,1;0,35;T2
0;31,33;17,59;51,08;0;T2
15,3;26,2;21;52,8;0;T2
58;290;149;373;0;T2
13,1;44,7;91,5;213,3;4,2;T2
679;4992;1823;3671;0;T2
24;27,8;24,4;30;0;T2
33,9;36,5;31,5;39,3;0;T2
230;572,4;343;768,9;0,51;T2
215,6;255,1;160,2;350,4;0;T2
0;37;63;58;93;T2
78;70,1;294,8;635,8;12,2;T2
139;714;351;634;0;T2
40;112,9;54;185,3;0,3;T2
19;136;55;164;0,29;T2
23,6;170,6;180,4;450,9;0;T2
22,7;150,3;160,8;400,8;0;T2
972;3411;1436;1639;0;T2
139;345;184;533;0;T2
70,2;246,6;171,5;371;0;T2
118;434;228;638;0;T2
159,8;438,9;3112,4;644,6;0,38;T2
9,68;75,17;21,5;57,48;0,16;T2
18;94,2;24,9;70;0,1;T2
18,7;101,3;28,8;76,02;0,03;T2
21;98,7;25,7;40,6;0,2;T2
184;246;36;24;0;T2
99;165;576;36;0;T2
75;432;215;437;0,7;T2
232,3;568,3;320,1;689,3;0,54;T2
159,3;27,4;6,6;12,3;0,22;T2
4,15;187,4;108,3;136,1;0;T2
145,3;178,3;50,3;23,1;0;T2
135,1;398,1;258,4;630,2;0,35;T2
155,1;132,6;29,5;98,1;0;T2
134;715,3;321,6;633,2;0;T2
38,3;99,1;41,6;26,9;0;T2
78,3;256,3;173,4;378,2;0;T2
15,23;61,32;53,98;81,76;0;T2
26,8;92,3;48,1;93,4;0,5;T2
139,3;715,3;362,3;671,9;0,1;T2
269,66;638,08;185,16;544,64;0,88;T2
27,73;28,43;8,91;11,21;0;T2
22,2;23,95;8,46;10,38;0;T2
16,99;25,11;9,94;10,9;0,26;T2
20,21;20,54;8,23;10,44;0,59;T2
160;130;96;33;0;T1
120;120;84;33;0,6;T1
56;78;173;18;0;T1
57;77;21;19;0;T1
120;120;84;33;0,55;T1
47,6;19,1;4,21;27;0,72;T1
2,369;119,69;21,891;20,15;0;T1
224;4,5;2;0;0;T1
900;9180;0;900;22;T1
0;224;0;45;0;T1
470;4637;1300;448;0;T1
65;20;10;5;0;T1
53;39;3;4,5;0;T1
219;44;3;3;0;T1
37;47;10;5,5;0;T1
34;30;34;2,5;0;T1
14;62;16;3;0;T1
48;40;11;0,5;0;T1
130;140;24;120;0;T1
86;8;2,5;2,5;0;T1
6;3;0,8;0,7;0;T1
50;3;1;0;0;T1
55;22;0,5;2,6;0;T1
78;66;62;2,6;0;T1
14;44;124;7;1;T1
2031;149;20;3;0;T1
48;610;29;10;0;T1
12;18;4;4;0;T1
66;60;2;7;0;T1
1450;940;211;322;61;T1
0;18900;410;540;330;T1
360;610;259;260;9;T1
1;27;49;4;1;T1
1270;3450;520;1390;8;T1
33;29;0;12;9;T1
46;98;0;41,3;26,3;T1
60;60;0,3;40;16;T1
87,2;73,18;0;56,88;27,14;T1
97;110;0;85;34;T1
110,4;112;0;80,8;32,5;T1
29,9;24,1;0,6;92,5;343;T1
120;120;0,55;84;33;T1
143,2;123;0;75;38;T1
181;162;0;132;70;T1
82,4;1548,2;403,8;320,9;0;T1
19,24;110;181,38;3,38;0,33;T1
73,38;157,49;244,65;35,68;0;T1
70,84;148,56;238,36;35,24;0;T1
19,19;187,55;329,49;74,43;1;T1
58,54;116,04;175,74;34,12;0,72;T1
5,07;26,26;3,17;2,77;0,21;T1
59,26;120,18;185,6;36,84;0,05;T1
137;251;32;14;0;T1
61,88;88,76;83,81;76,14;0,14;T1
181,7;262,5;41,6;28,6;1;T1
181;262;41;28;0;T1
86;110;118;92;7,4;T1
11,03;22,51;111,3;7,967;3,314;T1
20;207;2,5;2,4;0,4;T1
87,2;91,3;72,3;120,1;1;T1
35,4;39,6;6,8;71,5;1,5;T1
49,7;106,4;42,9;26,5;0;T1
46,3;160,2;17,7;102,3;0;T1
181,7;262,5;41,6;28,6;1;T1
95;110;160;50;0;T1
18,6;110,2;162,3;50,7;0,7;T1
16;38,4;70;28;0;T1
101;169;595;34;0;T1
102;168;597;35;0;T1
20,88;212,29;324,05;73,06;0,92;T1
72,22;159,01;235,33;32,95;0;T1
64,38;77,53;20,6;11,56;0;T1
20;207;2,5;2,4;0,4;T1
82,4;1548,2;403,8;320,9;0;T1
73,38;157,49;244,65;35,68;0;T1
70,84;148,56;238,36;35,24;0;T1
19,19;187,55;329,49;74,43;1;T1
58,54;116,04;175,74;34,12;0,72;T1
207;416;347;134,5;20;T1
23;9;6,4;6,2;0,4;T1
22;3,3;2,1;1,2;0,2;T1
397,7;901;2798,2;1171,9;66,51;T1
4,32;193;125;118;0;T1
72;442;461;221;0,7;T1
304;4336;227;1606;13,8;T1
64;72;7;103;0;T1
125;390,3;497,2;201,9;0,69;T1
16,4;25;21;11;0;T1
39;17;33;138;0;T1
14;45;72;34;0;T1
350;1100;270;180;20;T1
280;10;25;13;0;T1
28;409;692;354;0,5;T1
12;12,6;96,8;56,6;0;T1
95,32;65,4;255,65;199,06;4,48;T1
417;911;1602;554;1;T1
54,32;68,68;98,44;35,57;0;T1
71,93;289,87;379,03;133,95;0;T1
46;76,8;50,2;20,4;0,1;T1
0,5;38,4;133,4;151,4;0;T1
22;10;3,4;1,6;0,3;T1
170,12;508,27;806,03;298,72;0,93;T1
18;27,4;50,6;20,9;0,7;T1
30;71;54;44;0;T1
28;100;79;63;0;T1
34;171;114;91;0;T1
15,87;38,2;37,25;23,29;0,54;T1
139;345;533;184;0;T1
211,14;769,25;1210,45;465,03;0;T1
15,95;14,1;5,03;5,18;0;T1
16,81;14,33;3,94;5,76;0;T1
19,45;17,68;5,15;6,63;0;T1
18,34;14,74;4,25;4,32;0;T1
29,24;28,02;8,47;13,77;0;T1
29,07;20,88;9,46;12,05;0,7;T1
30,42;21,18;9,03;13,17;0,5;T1
15,92;13,04;2,69;5,2;0,37;T1
16,58;13,56;3,24;5,66;0;T1
1308;125;6;112;0;D1
68;8;8;3;11;D1
19;10;9,5;7,9;8,5;D1
345;112,3;51,5;27,5;58,8;D1
345;112,25;51,5;27,5;345;D1
49,1;12,2;3,9;0,3;4,8;D1
32,2;5,5;12,6;1,4;13,2;D1
345;112,25;51,5;27,5;58,75;D1
24,2;3,2;16,6;3,7;101;D1
35,2;2,6;5,3;1,9;18,3;D1
63;0,29;3,64;0,59;16,8;D1
30;7,4;1,8;8,5;19;D1
45;15;19;1;18;D1
54;7;8,6;7,4;5,4;D1
51,1;7,1;5,9;1,7;9,2;D1
52,5;32,9;9,73;79,3;9,8;D1
6;0,5;0,29;1,87;7,42;D1
63;0,29;0,59;3,64;16,8;D1
22,5;8,5;1,2;7,3;8,4;D1
31;6,6;4,7;19;67;D1
32,2;5,5;1,4;12,6;13,2;D1
3,3;1,1;0,9;3,1;3,3;D1
45;15;1;19;18;D1
316;36,1;37,3;109;440;D1
24,2;3,2;3,7;16,6;101;D1
35,2;2,6;1,9;5,3;18,3;D1
4,1;3,5;0,68;1,2;5,2;D1
34;60;11;123;6;D1
96;13,7;3,8;35,6;5,4;D1
12;14,6;7,2;14,4;0,98;D1
11,9;12,4;5,9;13,6;1,03;D1
49,1;12,2;0,3;3,9;4,8;D1
46,7;8,2;1,8;5,1;4,1;D1
53,9;8,3;1,1;6;7,1;D1
51,1;7,1;1,7;5,9;9,2;D1
78;20;11;13;28;D1
305;100;33;161;541;D1
35;6;3;26;482;D1
543;120;41;411;1880;D1
1230;163;27;233;692;D1
60;10;4;4;4;D1
95;10;0;11;39;D1
6870;1028;79;900;5500;D1
10092;5399;530;6500;37565;D1
650;81;170;51;270;D1
87,17;17,26;3,94;12,87;32,81;D1
1,96;2,1;0,5;0,67;1,59;D1
7911,85;947,43;96,93;907,19;4844,48;D1
21;2,01;0,46;1,48;5,61;D1
34,76;5,52;2,09;4,97;10,36;D1
1,6;1;0,1;0,9;1,6;D1
73;8;4;2;12;D1
5000;4000;2000;2000;8000;D1
24,3;15,7;6,4;11,2;29,8;D1
2240;360;25;169;828;D1
4480;560;380;403;896;D1
2240;560;380;450;940;D1
200;230;2;170;480;D1
60;5;1;6;29;D1
890;110;3;84;700;D1
41;112;0;254;4536;D1
38;3,7;0;4,1;19,4;D1
700;137,4;14,9;194,8;936,6;D1
253;21,5;5,9;16,1;72,4;D1
131;32;7,3;18,8;38,7;D1
116;20;7;27;54;D1
70;3,8;0,6;3,2;31,1;D1
34;18,9;3,7;9,4;5,6;D1
78;20;11;13;28;D1
1790;580;321;336;619;D1
1330;10;20;66;182;D1
4;1;2;7;52;D1
1900;285;31;957;7730;D1
57;24;2;27;30;D1
1000;500;1;400;500;D1
9;3,9;13;4;8;D1
1198;3,2;0,5;3,2;1,4;D1
14,2;4;9,51;1,5;1,4;D1
30,1;17,1;30,1;5,5;2,2;D1
45;11;28,5;12,74;2,7;D1
65,2;20;25,1;8,13;3,9;D1
67,8;8,89;36,2;12,67;1,88;D1
101,72;27,65;53,87;16,92;7,13;D1
549;121,3;198,5;31,9;25,5;D1
170;24;7;17;54;D1
30;7,4;8,5;1,8;19;D1
14,1;4;1,3;1,5;9,5;D1
29,5;4,5;0,5;3,5;29,1;D1
65,5;233;1;2,1;26;D1
41,18;4,41;1,47;1,47;16,18;D1
36,22;7,52;6,38;2,51;12,98;D1
36,7;7,4;6,2;2,8;12,8;D1
2781;1293;248;23;84;D1
78;28;13;29;110;D1
30,64;29,84;6,82;16,071;99;D1
549,1;121,2;25,4;31,9;198,5;D1
68,72;9,05;11,38;1,71;34,88;D1
225,1;215,9;605,5;88,7;1849;D1
99,39;28,86;16,07;6,82;52,3;D1
345;112,25;27,5;51,5;58,75;D1
80;20;6;20;62;D1
66;8,27;8,21;9,21;8,21;D1
59;10,4;4;10;12,7;D1
75;2,98;0,6;3,57;14,29;D1
410;32,88;2,59;24,76;191;D1
330,2;28,3;2,55;25,98;203,87;D1
584,67;104,44;9,04;193;530,89;D1
61,5;24,6;1,33;5,6;20,5;D1
540;119;27,1;39;201,5;D1
49,1;12,2;3,9;0,3;4,8;D1
22,5;8,5;7,3;1,2;8,4;D1
8300;1590,1;90,4;110;370,1;D1
14,2;4;1,4;1,5;9,51;D1
3,09;0,55;2,96;4,56;42,75;D1
31;6,6;19;4,7;67;D1
3,3;1,1;3,1;0,9;3,3;D1
361;29;2,74;25,67;197,2;D1
30,1;17,1;2,2;5,5;5,2;D1
54;7;7,4;8,6;5,4;D1
49,9;23,6;2,8;6,2;10,2;D1
43,6;20,1;32;7,2;10,9;D1
78;20;11;13;28;D1
305;100;33;161;541;D1
35;6;3;26;482;D1
543;120;41;411;1880;D1
1230;163;27;233;692;D1
60;10;4;4;4;D1
95;10;0;11;39;D1
650;81;170;51;270;D1
210;22;6;6;7;D1
385;60;8;53;159;D1
4230;690;5;196;1180;D1
7600;1230;318;836;1560;D1
595;80;9;89;244;D1
120;25;1;8;40;D1
8;0;0;43;101;D1
6454;2313;121;2159;6432;D1
2177;1049;207;440;705;D1
1790;580;321;336;619;D1
4;1;2;7;52;D1
1900;285;31;957;7730;D1
141;131;13;139;19;D1
30;7,4;8,5;1,8;19;D1
14,1;4;1,3;1,5;9,5;D1
29,5;4,5;0,5;3,5;29,1;D1
78;28;13;29;110;D1
30,64;29,84;6,82;16,071;99;D1
68,72;9,05;11,38;1,71;34,88;D1
225,1;215,9;605,5;88,7;1849;D1
80;20;6;20;62;D1
75;2,98;0,6;3,57;14,29;D1
410;32,88;2,59;24,76;191;D1
330,2;28,3;2,55;25,98;203,87;D1
584,67;104,44;9,04;193;530,89;D1
90,99;5,45;2,15;2,7;0;D1
64,1;0,45;0,99;3,14;15,3;D1
31,3;15,9;2,4;4,21;31,2;D1
55,32;7,66;4,8;1,33;6,5;D1
321;33,4;35,4;105,2;416;D1
915,3;129,97;6,87;33,1;307,7;D1
351,4;112,35;28,3;52,5;346;D1
171,2;25,3;7,3;17;55,2;D1
49,5;12,2;3,7;0,3;4,8;D1
536,1;119;28,1;33,6;202,3;D1
360,5;28,5;2,75;25,66;198,3;D1
330,1;28,4;2,56;25,34;213,33;D1
411,3;33,12;2,44;23,77;25,66;D1
33,1;5,6;13,1;1,5;13,3;D1
22,5;7,8;6,9;1,5;7,8;D1
28,8;4,3;0,6;3,45;29,3;D1
21,4;3,5;1,4;0,88;9,14;D1
13,9;3,5;1,3;1,5;0,44;D1
31,2;20,3;3,1;5;30,9;D1
332;28,7;2,35;25,66;196,8;D1
46,6;23,24;20,29;4,37;54,09;D1
87,6;44,54;88,8;6,56;204,32;D1
18,78;8,33;20,19;0,93;56,77;D1
63,6;44,3;30,3;10,2;10,7;D1
100;22;26;1,6;33;D1
247,5;67,69;84,38;8,52;79,66;D1
44;18;23;4;12,4;D1
442;85;103;10;174;D1
106;24;28;4;37;D1
36;17;13;4;5,4;D1
162;35;30;5,6;44;D1
18;3;3,4;1;4,3;D1
150;27;63;3,6;90;D1
69;36;51;21;11,3;D1
9,6;4,6;2,2;1;2,2;D1
60,1;20;9,5;5,5;9,1;D1
335;67;143;18;170;D1
2,2;2;3,4;0,58;1,37;D1
42;5,4;6;0,85;6,55;D1
395;95;179;10;74;D1
75;32;23;7,5;3,4;D1
290;110;47;6,8;90;D1
55;48;71;6;13;D1
42,4;9,3;28,9;2,9;8,2;D1
48,3;6,1;9,2;1,7;20,8;D1
376;24;25,6;22;67,2;D1
24,92;22,24;12,3;7,49;26,51;D1
236;48,93;47,48;13,3;88,33;D1
435,8;70,02;51,36;23,06;57,96;D1
34,46;21,92;44,96;3,19;19,62;D1
138,8;52,2;62,8;6,77;9,55;D1
220;9,2;2,3;2,4;0,2;D1
380;9,7;2,4;3,1;0,5;D1
380;9,7;2,4;3,1;0,5;D1
9;8,4;30;3,7;5;D1
220;9,2;2,3;2,4;0,2;D1
29;8,08;3,77;1,21;4,21;D1
80;66;177;18;510;D1
4444;65,9;884,6;28,4;373,7;D1
46,56;23,24;20,29;4,37;54,09;D1
12,97;5,98;15,23;1,39;16,1;D1
127;107;154;11;224;D1
102,7;16,1;26,9;1,4;26,5;D1
288,3;224,4;519,4;31;888,3;D1
52,2;26,8;972,6;115,8;355,3;D1
110;51;33;4;57;D1
7500;6,8;8;3,3;6,9;D1
980;570;480;37;340;D1
420;200;230;14;180;D1
80;20;37;6;62;D1
190;24;17;7;47;D1
49567;532;97;0;285;D1
74;19;29;8;58;D1
176;133;216;14;396;D1
116;20;27;7;54;D1
156;36;69;3;26;D1
34,46;21,92;44,96;3,19;19,62;D1
138,8;52,2;62,8;6,77;9,55;D1
160;90;17;27;5;D1
470;38;51;16;39;D1
692;605;1437;78;2833;D1
470;38;51;16;51;D1
156;0,5;54;0,5;121;D1
52;12;10;13;13;D1
93;17;20;5;31;D1
171,28;25,44;96,18;28,41;21,16;D1
176,17;13,86;13,32;8,14;27,57;D1
197,61;18,66;13,45;14,03;25,56;D1
228,26;24,21;21,81;19,97;48,57;D1
356,27;49,15;188,54;48,98;52,16;D1
90,83;24,08;8,87;5,22;9,07;D1
136,81;33,18;19,3;7,55;39,56;D1
54,7;38,2;53;5,2;56,6;D1
20;3,5;14,2;0;8,8;D1
232;79,6;95,3;12,1;242;D1
20,3;4,6;7,1;0,5;1,9;D1
39,4;6,7;10,5;1,5;4,8;D1
56,9;9,5;12,2;1,6;6,5;D1
23;5,8;3,1;1;3,62;D1
441,2;57,9;86,7;9,5;204,9;D1
32,7;6,9;10,6;0;24,7;D1
349,2;42,4;62,4;4,8;177,5;D1
40,1;34,4;36;7,8;6,6;D1
322,2;123,26;221,72;10,69;316,29;D1
14,9;11,8;1,4;4,2;1,6;D1
288;79;215;0;40;D1
725;241;270;21;70;D1
802;281;385;32;86;D1
271;95;162;22;183;D1
130,4;48,8;93,4;16,3;123,4;D1
13;2,3;0,7;1,4;1,9;D1
40,9;11,9;69,3;4,5;29;D1
33,3;23,3;10,3;12,1;7,6;D1
31,8;25;12,9;8,2;5,7;D1
415;123;273;15;609;D1
67;18;73;13;83;D1
39;21;126;50;27;D1
152;13;8,7;0,4;21;D1
71;16;62;3,3;10;D1
39,3;37,1;77,4;11,6;9,3;D1
17;5,2;2,3;1,4;2,4;D1
103;12;11,1;3,2;19,6;D1
1613;850;1045;64,7;1204;D1
60;40;110;9,9;70;D1
440;176;394;15;350;D1
160;90;17;27;5,8;D1
611,7;247;242,9;27,7;620,6;D1
876;354;548;85;910;D1
508,7;135,3;308,2;22,4;304;D1
260;130;84;29;92;D1
117,4;12,5;11,2;3,8;20,3;D1
186,9;75,6;22,3;38;2,8;D1
42,9;9,5;25;1,8;19,1;D1
37;6,8;0,6;5,7;0,3;D1
12,5;10,3;1,9;2,8;2,7;D1
29,82;10,5;19,1;2,4;24,3;D1
192,04;28,05;38,47;2,7;62,55;D1
120;20;13;4,7;14;D1
260;170;270;35;140;D1
56,2;11,3;30,3;5;11,2;D1
123,8;37,3;76,1;9,5;18,6;D1
12,9;8,5;26,5;0;7,2;D1
626,37;371,94;251,29;11,94;415,18;D1
612;117,44;117,15;14,78;96,68;D1
110,55;66,52;165,85;25,29;71,16;D1
23346,19;4902,07;1738,49;13587,17;15258,89;D1
277,39;74,73;8,31;100,04;205,19;D1
344,27;77,35;8,06;100,45;208,49;D1
74810,28;7139,15;664,83;13471,28;15150,69;D1
467,45;135,68;16,14;203,78;441,2;D1
7775,1;3269,74;146,25;2148,13;5840,55;D1
23;23;23;23;23;PD
26788;18342;27;2111;0;PD
18;20;12;6;2;PD
225,5;17,6;3;8,4;0;PD
1565;93;47;34;0;PD
3930;2397;157;0;0;PD
37800;1740;249;8;8;PD
92600;10200;0;0;0;PD
8266;1061;22;0;0;PD
9340;995;60;6;7;PD
36036;4704;554;5;10;PD
462;212,4;31,6;0;0;PD
1600;3600;670;14;0;PD
6600;1000;38;2;19;PD
88;9;0;0,03;0;PD
2240;168;25;0;0;PD
1950;123;38;2;2;PD
2240;157;90;45;45;PD
32930;2397;157;0;0;PD
37800;1740;249;8;8;PD
92600;10200;0;0;0;PD
8266;1061;22;0;0;PD
9340;995;60;6;7;PD
36036;4704;554;5;10;PD
1198;3,2;0,5;3,2;1,4;PD
1309;124;0;6;113;PD
2587;7,88;0;1,4;4,7;PD
85,87;7,01;0;2,64;4,49;PD
102;108;0;41;70;PD
195,9;14,5;0;2,4;11,6;PD
420;37,3;0,2;30;14,9;PD
485;35;0;6;29;PD
83,26;45,32;0,26;36,45;18,1;PD
26;21;15;12;1;PD
25,2;1,2;6,5;1,3;0,2;PD
980;73;58;12;0;PD
420;373;14,9;30;0,2;PD
1198;3,2;1,4;3,2;0,5;PD
83,26;45,32;18,1;36,45;0,26;PD
1958;14,5;11,6;2,4;0,7;PD
565;26,5;6,9;2,1;0;PD
625;49;9;7;0,6;PD
2587,2;7,88;4,7;1,4;0;PD
87,27;6,5;5,16;1,07;0;PD
560;0;0,6;0,7;0;PD
89,99;5,35;1,96;2,7;0;PD
1300;110;137;52;22,2;PD
650;53;34;20;0;PD
1565;93;34;47;0;PD
1308;125;112;6;0;PD
654;55;34;20;0;PD
2437;115,5;22,6;3,5;0,2;PD
565;93;34;47;0;PD
84,3;8;7,2;0,4;0;PD
980;73;58;12;0;PD
565;93;34;47;2,7;PD
180,85;0,574;0,234;0,188;0;PD
2073;85,6;17,4;2,6;0;PD
568;26,5;6,9;2,1;0;PD
3433;180;34,3;3,4;0,3;PD
150;11,6;50,6;29;1,1;PD
1308;125;112;6;0;PD
177,21;13,83;6,6;2,36;0;PD
538,3;12,6;8,67;14,07;0,33;PD
3433;180;34,4;3,6;0,4;PD
181;0,6;0,2;0,2;0;PD
189,93;8,74;1,25;0,04;0,04;PD
242;6;1;4;0;PD
32930;2397;157;0;0;PD
92600;10200;0;0;0;PD
8266;1061;22;0;0;PD
9340;995;60;6;7;PD
36036;4704;554;5;10;PD
33046;619;58;2;0;PD
40280;1069;1060;1;1;PD
26788;18342;2111;27;0;PD
8266;1061;22;0,1;0,1;PD
59,3;9,1;1,2;6,6;7,8;PD
90,2;98,2;13,2;30,8;8,8;PD
77,1;11,8;1,6;8,6;10,1;PD
46;7,9;2;18,1;18,9;PD
58,5;19,5;1,3;11,7;10,4;PD
26;21;15;12;1;PD
25,2;1,2;6,5;1,3;0,2;PD
980;73;58;12;0;PD
420;37,3;14,9;30;0,2;PD
1198;3,2;1,4;3,2;0,5;PD
83,26;45,32;18,1;36,45;0,26;PD
195,8;14,5;11,6;2,4;0,7;PD
565;26,5;6,9;2,1;0;PD
625;49;9;7;0,6;PD
2587,2;7,88;4,7;1,4;0;PD
87,27;6,5;5,16;1,07;0;PD
560;0;0,6;0,7;0;PD
89,99;5,35;1,96;2,7;0;PD
1300;110;137;52;22,2;PD
650;53;34;20;0;PD
1565;93;34;47;0;PD
1308;125;112;6;0;PD
654;55;34;20;0;PD
2437;115,5;22,6;3,5;0,2;PD
565;93;34;47;0;PD
84,3;8;7,2;0,4;0;PD
980;73;58;12;0;PD
565;93;34;47;2,7;PD
180,85;0,574;0,234;0,188;0;PD
